time xmove ymove altitude xerror xintegral yerror yintegral
17,37 198 -2754 198 154 44 -2142 -612
17,41 306 -2754 88 238 68 -2142 -612
17,45 405 -2754 66 315 90 -2142 -612
17,54 405 -2754 0 315 90 -2142 -612
17,58 504 -2880 66 392 112 -2240 -640
17,70 711 -2754 66 553 158 -2142 -612
17,74 711 -2628 -22 553 158 -2044 -584
17,74 810 -2565 -44 630 180 -1995 -570
17,82 864 -2502 66 672 192 -1946 -556
17,86 918 -2376 22 714 204 -1848 -528
17,90 1017 -2196 88 791 226 -1708 -488
17,94 1017 -2070 88 791 226 -1610 -460
18,02 1071 -1881 44 833 238 -1463 -418
18,06 1125 -1692 44 875 250 -1316 -376
18,14 1224 -1377 110 952 272 -1071 -306
18,18 1224 -1071 220 952 272 -833 -238
18,22 1224 -882 132 952 272 -686 -196
18,38 1431 117 154 1113 318 91 26
18,55 1431 117 176 1113 318 91 26
18,59 1377 873 44 1071 306 679 194
18,67 1323 1179 154 1029 294 917 262
18,71 1323 1179 132 1029 294 917 262
18,75 1323 1179 176 1029 294 917 262
18,83 1125 2061 176 875 250 1603 458
18,87 1125 2061 176 875 250 1603 458
18,95 1125 2061 198 875 250 1603 458
18,99 1125 2061 176 875 250 1603 458
19,03 963 2808 220 749 214 2184 624
19,11 963 2808 220 749 214 2184 624
19,15 864 3123 264 672 192 2429 694
19,19 864 3123 242 672 192 2429 694
19,35 918 3492 154 714 204 2716 776
19,43 963 3492 44 749 214 2716 776
19,47 810 3186 44 630 180 2478 708
19,56 810 3186 66 630 180 2478 708
19,60 810 3186 44 630 180 2478 708
19,64 810 3186 0 630 180 2478 708
19,68 810 3186 -22 630 180 2478 708
19,72 810 3186 -44 630 180 2478 708
19,76 306 2430 -154 238 68 1890 540
19,80 252 2124 -220 196 56 1652 472
19,88 99 1872 -264 77 22 1456 416
20,04 0 1683 -352 0 0 1309 374
20,08 0 1683 -374 0 0 1309 374
20,16 0 1620 -264 0 0 1260 360
20,20 0 1620 -418 0 0 1260 360
20,28 0 1305 -440 0 0 1015 290
20,32 0 936 -352 0 0 728 208
20,40 0 684 -242 0 0 532 152
20,44 0 369 -594 0 0 287 82
20,48 0 117 -726 0 0 91 26
20,57 99 -126 -770 77 22 -98 -28
20,61 198 -252 -726 154 44 -196 -56
